"Energy production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,0.001104587,0.00132114,0.0013079,0.001153026,0.001211565,0.001253964,0.001264081,0.001356735,0.001293998,0.001283293,0.000985922,0.000954107,0.000991661,0.001041348,0.000949881,0.000988337,0.000931496,0.000905,0.000891122,0.000744564,0.000581703,0.000427977,0.000411325,0.000401929,0.000393487,0.000425575,0.000356373,0.000352527,0.000348209,0.000320987,0.000286897,0.000310463,0.000336656,0.000368942,0.000371222,0.000377536,0.000332773,0.000362527,0.000392707,
Algeria,,,,,,,,,,,,0.002930187,0.003748941,0.003753057,0.003431465,0.003311355,0.003555722,0.003637296,0.003943917,0.004162698,0.003494696,0.003455773,0.003351031,0.003569183,0.003594428,0.003654611,0.003696668,0.003795435,0.003785036,0.003842324,0.0039572,0.003956384,0.003923934,0.003862403,0.003625997,0.003772637,0.003913986,0.004160272,0.004283636,0.004551585,0.004658606,0.004415445,0.004552614,0.004866779,0.00487377,0.005067639,0.004939545,0.00484557,0.004706748,0.004357402,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,0.001507702,0.001701892,0.001847432,0.00187097,0.001716839,0.001638714,0.001532691,0.001416899,0.001485765,0.001479438,0.001303789,0.001269528,0.001519922,0.00162612,0.001736624,0.001966921,0.002334193,0.002761685,0.002704646,0.002772316,0.002811796,0.002976917,0.002685204,0.00280575,0.003008199,0.003195608,0.0032488,0.003270478,0.003223325,0.003136508,0.003020206,0.003454154,0.003330029,0.003610194,0.004300216,0.004702594,0.005423804,0.005864105,0.005440961,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,0.001253606,0.001248913,0.00121026,0.00120351,0.001174767,0.00117164,0.001215597,0.001242499,0.00131172,0.001379739,0.001381305,0.001378644,0.001426058,0.001435884,0.001401954,0.001391378,0.001385292,0.001457909,0.001467695,0.001483256,0.001517423,0.001619616,0.001675879,0.001812904,0.001918704,0.002041618,0.002169209,0.002205043,0.002190906,0.002227543,0.002264943,0.002159907,0.002217508,0.002272505,0.002189309,0.002208712,0.002105007,0.002086387,0.002017317,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87373E-05,3.85031E-05,7.61506E-05,0.000109818,9.21232E-05,7.60707E-05,0.000233836,0.000172023,0.000176028,0.000208936,0.000205443,0.000196384,0.000241188,0.000226151,0.000243722,0.00028092,0.000275569,0.000268672,0.000258865,0.000267403,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
